Time (ns)	RMSD	RMSF	rGyr	SASA
0	0	0.224	4.474	146.93
0.2	1.488	0.245	4.611	207.774
0.4	1.312	0.242	4.541	153.261
0.6	1.369	0.256	4.508	171.778
0.8	1.397	0.251	4.569	187.978
1	1.528	0.339	4.513	163.663
1.2	2.015	0.539	4.658	155.869
1.4	1.704	0.557	4.523	152.135
1.6	1.773	0.289	4.566	156.094
1.8	1.306	0.257	4.62	161.539
2	1.292	0.561	4.548	137.133
2.2	1.233	0.421	4.531	149.185
2.4	1.433	0.418	4.474	168.065
2.6	1.497	0.391	4.521	161.937
2.8	1.689	0.308	4.635	187.906
3	1.292	0.488	4.603	171.397
3.2	1.421	0.547	4.543	181.905
3.4	1.465	0.362	4.545	167.591
3.6	1.3	0.394	4.5	170.255
3.8	1.451	1.238	4.482	180.455
4	1.362	1.25	4.484	193.75
4.2	1.299	0.599	4.487	146.229
4.4	1.876	1.7	4.449	162.448
4.6	1.687	0.483	4.616	179.679
4.8	1.546	0.571	4.732	152.87
5	1.897	1.689	4.484	174.582
5.2	1.675	1.294	4.518	155.754
5.4	1.473		4.456	160.111
5.6	1.836		4.483	185.043
5.8	1.51		4.571	165.239
6	1.376		4.436	164.918
6.2	1.795		4.644	202.979
6.4	1.818		4.434	162.109
6.6	1.564		4.422	169.91
6.8	1.83		4.442	161.387
7	1.235		4.636	162.838
7.2	1.451		4.57	185.993
7.4	1.471		4.408	191.794
7.6	1.674		4.503	170.03
7.8	1.936		4.604	201.703
8	1.903		4.465	169.921
8.2	2.096		4.53	157.386
8.4	1.983		4.573	174.458
8.6	1.769		4.524	144.33
8.8	1.699		4.633	176.936
9	1.338		4.6	162.392
9.2	1.448		4.405	189.107
9.4	1.591		4.558	173.496
9.6	2.043		4.499	174.811
9.8	1.736		4.53	172.986
10	1.366		4.593	176.26
10.2	1.528		4.676	197.792
10.4	1.686		4.615	182.901
10.6	2.148		4.571	171.527
10.8	1.918		4.539	173.377
11	1.357		4.572	173.436
11.2	1.967		4.553	160.461
11.4	2.131		4.599	157.932
11.6	1.789		4.463	188.698
11.8	2.046		4.592	158.619
12	1.377		4.455	204.986
12.2	2		4.533	182.886
12.4	1.379		4.534	201.333
12.6	1.329		4.407	191.222
12.8	1.564		4.586	167.572
13	1.442		4.492	202.426
13.2	1.608		4.638	216.444
13.4	1.554		4.534	208.118
13.6	1.78		4.521	216.243
13.8	1.477		4.532	190.463
14	1.39		4.67	172.436
14.2	1.548		4.532	174.362
14.4	1.512		4.552	199.205
14.6	1.874		4.466	182.581
14.8	1.926		4.557	205.454
15	1.786		4.597	183.028
15.2	1.218		4.532	202.742
15.4	1.718		4.431	171.374
15.6	1.587		4.509	161.017
15.8	1.431		4.534	186.909
16	1.7		4.532	189.42
16.2	1.538		4.556	197.98
16.4	1.692		4.477	164.022
16.6	0.906		4.484	167.96
16.8	1.52		4.44	164.932
17	2.242		4.611	215.644
17.2	1.658		4.54	216.221
17.4	2.563		4.588	193.532
17.6	1.974		4.58	182.07
17.8	1.653		4.491	194.75
18	1.599		4.508	170.633
18.2	1.538		4.602	186.104
18.4	1.602		4.53	187.438
18.6	1.206		4.486	168.512
18.8	1.601		4.448	184.794
19	1.337		4.508	186.403
19.2	1.809		4.408	174.077
19.4	1.753		4.576	203.878
19.6	1.937		4.522	181.364
19.8	1.451		4.556	172.859
20	1.834		4.578	222.944
20.2	2.006		4.647	179.568
20.4	2.022		4.5	190.311
20.6	1.645		4.465	185.842
20.8	1.405		4.528	187.323
21	1.215		4.534	178.228
21.2	1.531		4.433	181.879
21.4	1.606		4.587	172.867
21.6	1.542		4.606	182.687
21.8	1.849		4.553	202.73
22	1.399		4.501	183.545
22.2	1.011		4.389	173.319
22.4	1.389		4.563	157.051
22.6	1.418		4.648	176.708
22.8	1.334		4.632	187.327
23	1.391		4.56	194.097
23.2	1.497		4.538	209.246
23.4	1.681		4.679	192.003
23.6	1.243		4.378	191.191
23.8	1.151		4.477	180.908
24	1.713		4.628	178.377
24.2	1.545		4.521	171.165
24.4	1.486		4.494	170.389
24.6	1.602		4.531	214.982
24.8	1.262		4.518	183.555
25	1.586		4.55	178.33
25.2	1.104		4.52	181.652
25.4	1.537		4.553	195.755
25.6	1.627		4.477	184.916
25.8	1.416		4.528	174.759
26	1.458		4.465	165.204
26.2	1.709		4.551	176.735
26.4	1.868		4.611	163.274
26.6	1.574		4.46	198.575
26.8	1.194		4.666	188.388
27	1.561		4.508	181.412
27.2	1.248		4.562	197.837
27.4	1.43		4.587	170.926
27.6	1.406		4.494	149.384
27.8	1.476		4.7	197.601
28	1.607		4.481	168.054
28.2	1.965		4.557	166.351
28.4	1.801		4.46	164.706
28.6	1.652		4.561	175.612
28.8	1.43		4.503	192.003
29	1.96		4.471	174.591
29.2	1.244		4.534	198.689
29.4	1.81		4.416	194.118
29.6	1.637		4.604	209.337
29.8	1.428		4.553	182.335
30	1.704		4.467	185.972
30.2	1.421		4.527	184.836
30.4	1.47		4.604	215.373
30.6	1.542		4.531	191.032
30.8	1.691		4.663	218.035
31	1.738		4.503	205.831
31.2	1.476		4.54	183.155
31.4	1.978		4.617	183.831
31.6	2.208		4.775	176.453
31.8	2.134		4.554	151.072
32	1.798		4.441	168.648
32.2	1.534		4.524	165.308
32.4	1.48		4.606	181.605
32.6	2.176		4.554	201.648
32.8	1.081		4.352	188.921
33	1.337		4.559	202.297
33.2	1.47		4.47	223.144
33.4	1.333		4.527	200.177
33.6	1.452		4.585	206.203
33.8	1.081		4.518	198.528
34	1.795		4.593	182.881
34.2	1.513		4.439	190.389
34.4	2.155		4.556	179.7
34.6	1.382		4.465	196.056
34.8	1.766		4.434	196.272
35	1.292		4.469	183.428
35.2	2.01		4.664	189.503
35.4	1.607		4.496	172.716
35.6	1.66		4.511	162.789
35.8	1.826		4.607	217.825
36	1.962		4.521	206.027
36.2	2.226		4.534	220.366
36.4	1.918		4.628	170.671
36.6	1.875		4.44	182.31
36.8	1.487		4.537	174.758
37	2.074		4.546	192.627
37.2	1.703		4.592	175.907
37.4	1.867		4.478	190.41
37.6	2.017		4.658	195.011
37.8	1.692		4.461	177.592
38	1.92		4.622	193.368
38.2	2.282		4.745	174.648
38.4	1.387		4.626	180.74
38.6	2.178		4.676	211.328
38.8	1.919		4.437	180.976
39	1.321		4.557	195.297
39.2	1.507		4.518	159.027
39.4	1.893		4.612	161.314
39.6	2.119		4.67	146.806
39.8	1.596		4.581	169.864
40	2.345		4.612	150.364
40.2	1.995		4.61	167.36
40.4	2.393		4.704	147.273
40.6	2.108		4.6	159.827
40.8	2.202		4.634	164.359
41	2.029		4.527	169.301
41.2	1.728		4.524	179.465
41.4	1.473		4.461	209.542
41.6	1.883		4.58	189.922
41.8	1.669		4.574	201.784
42	1.969		4.431	195.93
42.2	2.824		4.492	181.024
42.4	2.458		4.668	199.829
42.6	2.206		4.542	152.459
42.8	2.113		4.531	161.091
43	2.356		4.518	173.256
43.2	2.684		4.619	173.018
43.4	2.301		4.507	172.515
43.6	2.159		4.522	162.661
43.8	1.77		4.422	173.265
44	1.296		4.512	177.191
44.2	2.167		4.426	163.035
44.4	1.777		4.649	183.593
44.6	1.578		4.452	153.186
44.8	1.997		4.498	169.303
45	2.102		4.566	179.026
45.2	1.36		4.52	195.64
45.4	2.077		4.534	152.644
45.6	2.205		4.609	168.046
45.8	2.322		4.463	166.452
46	3.172		4.557	142.13
46.2	3.306		4.482	127.282
46.4	3.034		4.566	146.626
46.6	3.336		4.498	123.028
46.8	2.76		4.543	137.381
47	3.01		4.606	123.966
47.2	1.864		4.444	148.377
47.4	3.276		4.644	136.639
47.6	1.755		4.535	140.816
47.8	1.991		4.571	182.193
48	2.555		4.551	150.762
48.2	2.742		4.594	148.362
48.4	2.122		4.456	146.097
48.6	2.639		4.509	144.903
48.8	3.034		4.513	119.829
49	2.795		4.554	127.61
49.2	2.341		4.468	135.992
49.4	2.67		4.587	129.118
49.6	2.501		4.454	135.487
49.8	2.526		4.534	131.84
50	2.85		4.462	133.959
50.2	3.246		4.574	151.791
50.4	2.536		4.631	181.192
50.6	2.244		4.515	155.646
50.8	1.865		4.419	177.432
51	2.879		4.596	175.241
51.2	1.851		4.503	187.056
51.4	1.746		4.5	160.069
51.6	1.576		4.554	183.578
51.8	1.899		4.572	172.027
52	1.418		4.532	179.382
52.2	1.53		4.465	174.348
52.4	2.335		4.501	131.858
52.6	1.96		4.483	176.348
52.8	1.809		4.525	171.856
53	2.246		4.496	143.742
53.2	2.063		4.511	175.74
53.4	1.959		4.555	177.414
53.6	1.542		4.61	182.077
53.8	2.827		4.592	150.802
54	2.445		4.448	118.016
54.2	2.533		4.47	103.869
54.4	1.73		4.569	168.212
54.6	2.183		4.557	169.24
54.8	2.276		4.542	186.941
55	1.867		4.632	181.424
55.2	1.629		4.501	164.344
55.4	1.858		4.517	163.142
55.6	2.038		4.511	168.996
55.8	1.821		4.592	161.817
56	1.67		4.573	180.348
56.2	2.076		4.588	160.277
56.4	1.762		4.556	163.407
56.6	2.154		4.552	142.675
56.8	1.499		4.54	167.727
57	1.894		4.473	161.174
57.2	2.417		4.493	168.321
57.4	1.859		4.507	170.052
57.6	1.987		4.575	150.407
57.8	2.24		4.602	153.846
58	1.794		4.504	158.804
58.2	2.439		4.543	152.007
58.4	1.989		4.482	165.235
58.6	2.702		4.548	147.623
58.8	2.029		4.623	172.897
59	2.063		4.48	166.813
59.2	2.421		4.583	189.104
59.4	2.444		4.668	201.181
59.6	2.532		4.436	160.622
59.8	3.038		4.578	143.058
60	2.84		4.581	139.39
60.2	3.359		4.625	167.018
60.4	2.43		4.559	226.603
60.6	2.81		4.565	152.86
60.8	1.937		4.529	190.758
61	2.634		4.604	189.331
61.2	2.514		4.585	156.513
61.4	2.361		4.623	196.379
61.6	2.492		4.481	160.676
61.8	2.616		4.52	159.29
62	2.836		4.544	149.671
62.2	2.602		4.507	176.053
62.4	2.401		4.653	169.538
62.6	2.279		4.534	181.436
62.8	2.266		4.564	178.612
63	2.791		4.62	170.183
63.2	1.841		4.589	181.143
63.4	1.561		4.643	157.045
63.6	1.849		4.523	168.252
63.8	1.919		4.424	170.067
64	1.769		4.454	158.208
64.2	2.327		4.47	199.783
64.4	2.105		4.498	149.942
64.6	2.207		4.437	160.884
64.8	1.943		4.64	166.566
65	1.871		4.508	178.871
65.2	1.659		4.556	163.37
65.4	1.97		4.467	162.958
65.6	1.764		4.625	154.653
65.8	1.839		4.442	170.574
66	1.911		4.559	157.553
66.2	2.091		4.572	160.239
66.4	1.895		4.578	170.905
66.6	2.394		4.465	156.976
66.8	2.095		4.454	174.961
67	2.121		4.45	164.962
67.2	1.999		4.5	169.821
67.4	2.079		4.557	138.226
67.6	1.771		4.501	169.452
67.8	1.729		4.482	173.229
68	1.624		4.414	166.51
68.2	1.891		4.619	183.146
68.4	1.703		4.42	169.432
68.6	1.541		4.561	166.778
68.8	1.954		4.552	144.295
69	1.965		4.409	160.193
69.2	2.197		4.555	182.332
69.4	2.121		4.433	173.967
69.6	1.95		4.488	161.666
69.8	2.071		4.509	179.836
70	2.265		4.545	156.921
70.2	1.569		4.492	202.052
70.4	2.04		4.461	194.557
70.6	2.348		4.548	192.021
70.8	1.659		4.48	173.838
71	1.613		4.481	208.044
71.2	2.094		4.475	179.467
71.4	2.101		4.587	188.562
71.6	2.803		4.438	161.292
71.8	3.341		4.412	122.892
72	3.031		4.693	159.686
72.2	3.41		4.577	152.36
72.4	3.44		4.574	134.405
72.6	3.043		4.569	127.133
72.8	3.35		4.396	116.482
73	3.678		4.515	149.234
73.2	3.426		4.483	119.385
73.4	3.335		4.51	133.231
73.6	2.172		4.492	179.454
73.8	3.249		4.568	145.835
74	3.451		4.585	148.582
74.2	3.23		4.499	139.646
74.4	2.812		4.543	129.16
74.6	2.396		4.549	136.341
74.8	2.491		4.539	171.317
75	1.942		4.458	161.501
75.2	2.064		4.454	150.709
75.4	1.972		4.508	188.424
75.6	2.834		4.53	162.872
75.8	2.626		4.594	176.109
76	2.551		4.64	183.708
76.2	3.392		4.556	136.638
76.4	3.543		4.502	112.87
76.6	3.412		4.531	108.321
76.8	3.235		4.662	124.422
77	3.711		4.517	121.56
77.2	3.704		4.523	128.196
77.4	3.554		4.633	103.658
77.6	3.508		4.587	130.971
77.8	3.64		4.633	113.393
78	2.978		4.714	137.077
78.2	3.547		4.696	123.668
78.4	3.569		4.627	111.809
78.6	3.744		4.625	103.189
78.8	3.68		4.484	105.854
79	3.308		4.541	140.166
79.2	3.394		4.473	123.442
79.4	2.68		4.541	169.435
